id,text,screen_name,time
727188486063796225,"$FB as good as earnings were, we got no buyers here",PLin55,Mon May 02 17:30:20 +0000 2016
727188345076486144,With this article of $AMZN and $FB being a positive for $AAOI I’m surprised we did not see upward price movement today,jane_yul,Mon May 02 17:29:46 +0000 2016
727188191791316992,"#Facebook, Microsoft Capital Spending Good For Data Center REITs. Read more: https://t.co/JBlwVewOvs $FB",App_sw_,Mon May 02 17:29:10 +0000 2016
727188176838647808,$FB looks nice over 118....Hourly chart going back 3 days...,EddieFromNYC,Mon May 02 17:29:06 +0000 2016
727187740585021440,Holding $aapl $fb $nflx. Sold $spy for a loss. Bulls dont want to let that shit go yet,optionbag,Mon May 02 17:27:22 +0000 2016
727187108247539713,Action on $2.1B $P absurd with solid strategy detailed on call &amp; reality many tech Titans glaringly missing music in ad platforms // $FB,zerofiltertruth,Mon May 02 17:24:51 +0000 2016
727186429453856772,Facebook's #WhatsApp Blocked Again in Brazil Over Data Dispute $FB https://t.co/IXxdtPOjVw,peeptrade,Mon May 02 17:22:09 +0000 2016
727186018982490113,Expect $BRCM to acquire $SGI. This is a potentially great and natural acquisition that $BRCM can do for cheap. $8-$9/share $FB $MSFT $AAPL,Louie_SFO,Mon May 02 17:20:32 +0000 2016
727185987772792833,$fb $googl scared all the bulls to hit the stop loss now it's moving up. Always trade the money you can loses without stop losses it helps,afortunetraders,Mon May 02 17:20:24 +0000 2016
727185505851465728,"""Will #Twitter Inc's Bet On #Video Help $TWTR #Stock?""
""Time isn't on TWTR's side in....Battle with #Facebook"" 
 https://t.co/7K7KtH29he
$FB",Oldie_Records,Mon May 02 17:18:29 +0000 2016
727185032226476033,$FB added more calls,Lichartin,Mon May 02 17:16:36 +0000 2016
727184634870665216,"FB testing disappearing messages on Messenger and they now have a scan code like Snap.  Innovation dead, copying is the road map. $TWTR $FB",tmcmill81,Mon May 02 17:15:02 +0000 2016
727184465395503104,#Facebook Messenger Looking To Emulate Snapchat With Self-Destructing Messages. Read more: https://t.co/kmynZSxWwM $FB,App_sw_,Mon May 02 17:14:21 +0000 2016
727184377373941760,"Analyst’s Review to Watch: Facebook, Inc. (FB) https://t.co/Fg3V96G0Qi $FB",TickerLensFB,Mon May 02 17:14:00 +0000 2016
727184166119346176,$AMZN BTFD along with $FB --- going back to 700 in a hurry #cashcow,lcc007,Mon May 02 17:13:10 +0000 2016
727182446542770178,#Facebook Messenger May Get Disappearing Chats Soon. Read more: https://t.co/WNRfp4rHXV $FB,App_sw_,Mon May 02 17:06:20 +0000 2016
727182349146804224,https://t.co/QhCTbycFlA Nice $FB $TWTR I love this chart,timothysykes,Mon May 02 17:05:57 +0000 2016
727181823189487617,https://t.co/HrRZd0ielQ &lt;  Will you win a Porsche as a millionaire road map student?  $FB $TWTR $LNKD $TLOG $LIVE,St0ckReviews,Mon May 02 17:03:51 +0000 2016
727181409958416385,$TWTR at less than $10B market cap. Cash at ~ $4B. I hope to see an #acquisition from...? $GOOGL $APPL $FB,leuften,Mon May 02 17:02:13 +0000 2016
727181295160283136,"Oculus Rift Sales Kickoff at Best Buy, Amazon and Microsoft this week #VR $AMZN $BBY $MSFT $FB #VirtualReality https://t.co/yBlSjMQ1nj",bobbyw24,Mon May 02 17:01:45 +0000 2016
727181237878661120,Economies Of Southeast Asia Facing Slower Growth $FB $TWTR $LNKD https://t.co/usKpQjslnK https://t.co/sGlkQ762qp,DTradingAcademy,Mon May 02 17:01:32 +0000 2016
727180877524926464,Is it Too Late to buy Facebook $FB ? https://t.co/uDsscaCZ6V,bobbyw24,Mon May 02 17:00:06 +0000 2016
727180283741507589,"Arista, Ciena, Mellanox Benefit as Cloud Spending Speeds Up, Say Nomura, Benchmark:  https://t.co/5fT16zcqIM $FB $TWTR $LNKD $BAC",Stockology101,Mon May 02 16:57:44 +0000 2016
727180167899168770,"$QQQ near HOD, let see if you can get a new leg up $FB $AMZN $NFLX $GOOGL",InvestActions,Mon May 02 16:57:17 +0000 2016
727179399359950848,"The #SportsAuthority files ch.11 whie $EA $FB $AMZN soar. Proof the #USA is becoming fat, lazy, &amp; non-athletic? @USNavy @USArmy #TCOT #TLOT",_JohnBright,Mon May 02 16:54:13 +0000 2016
727179301439868929,$spy $aapl $fb $nflx all different ways. See who comes out on top,optionbag,Mon May 02 16:53:50 +0000 2016
727178775537025024,$AVXL P&amp;D $200K promo campaign due for a 90%+ drop. GI's last call $GBSN is down 99.96% in a year https://t.co/LLzZfYUOHj $FB $MA $VER,StockTradePicks,Mon May 02 16:51:45 +0000 2016
727178748873859073,"$SPY #STOPLOSS Set @ $206.33 no #ShakeOut Today?
$SPX $QQQ $IWM $FAS $DWTI $UWTI $FCX $AMZN $FB $NFLX $QCOM $AAPL $GS $JPM $SVXY $UVXY $UGAZ",AmericanEtrader,Mon May 02 16:51:38 +0000 2016
727178747246333952,"Most Active Stock Options Midday May 2, 2016 - $DOW, $F, $BIDU, $X, $PBR, $VIAB, $AAPL, $BAC, $FB  -  https://t.co/BZvmakNFyE",Options,Mon May 02 16:51:38 +0000 2016
727178164141576192,"Google is running out of time to fix this one glaring problem $GOOG $GOOGL $FB https://t.co/zr32LjClP5 https://t.co/fWCHhre3l3""",HIHTWorld_,Mon May 02 16:49:19 +0000 2016
727178098207129600,#Facebook Hit With Lawsuit Over Plan to Issue New Stock. Read more: https://t.co/pib5VL930p $FB,App_sw_,Mon May 02 16:49:03 +0000 2016
727177942913024000,#Facebook Facing Class-Action Lawsuit Over Stock Scheme To Put Zuckerberg In Control. Read more: https://t.co/tmV4Eis0ca $FB,App_sw_,Mon May 02 16:48:26 +0000 2016
727177742450610178,SHORT $FB. 82% of its revenue comes from ads. REALLY? Ads spending about to be cut at major companies now https://t.co/jQJqsYc9Rw,Khojinur30,Mon May 02 16:47:38 +0000 2016
727177556361895937,TV Networks Battle New Media Threat as Facebook Looms Over Ad War | https://t.co/yhrpXZvm2c | #Facebook $FB #Advertising #TV #Ads @Blitzgear,PetersenCg,Mon May 02 16:46:54 +0000 2016
727177551634780161,Too Late To Buy Facebook? https://t.co/EFZL0mvwm0 $GOOG #GOOGLE $TWTR $FB,SAlphaTech,Mon May 02 16:46:53 +0000 2016
727177520030699522,"Bounce plays: $AAPL $NFLX short: $TSLA 
Long: $DIS $FB on watch for ER $FIT $DIS",DiegoDomiguez10,Mon May 02 16:46:45 +0000 2016
727177460719214592,Stay #FAT this year  $FB $AMZN and ....(waiting confirmation),jefffocker,Mon May 02 16:46:31 +0000 2016
727177355077292032,$SPY $AAPL Apple will dump $58 billion into buying back shares AHAHAHAHAHA $AMZN $FB $TWTR $PCLN,MissElllly,Mon May 02 16:46:06 +0000 2016
727175815272751104,$SBUX #Starbucks is accused of putting too much ice in your iced #coffee https://t.co/bD2soXrcDQ #stocks #stockmarket $SPY #finance $QQQ $FB,davidmoadel,Mon May 02 16:39:59 +0000 2016
727175552205869057,The Wearables Revolution: Alphabet Is Developing A Wide Range Of Wearables Products https://t.co/eVrGVhu89C $AAPL $FIT $GPRO $FB $GOOG,charles_lloyd,Mon May 02 16:38:56 +0000 2016
727175387869003776,"#GottoLove #HFT that can Pop n' Drop an #Index like a #PennyStock
$SPY $QQQ $IWM $DWTI $UWTI $FCX $AMZN $FB $QCOM $AAPL $GS $JPM $SVXY $UVXY",AmericanEtrader,Mon May 02 16:38:17 +0000 2016
727175339642753028,[Chart] $FB Long Term Elliott Wave Update - 5th wave targets after ABC flat -  https://t.co/B4YPn2hdh3,wavegenius,Mon May 02 16:38:05 +0000 2016
727175333846376448,Incongruence: $AAPL can't afford $FB at $300B; instead increase buybacks to $300B! 🤔,nw3,Mon May 02 16:38:04 +0000 2016
727174519102775297,"Arista, Ciena, Mellanox Benefit as Cloud Spending Speeds Up, Say Nomura, Benchmark -Tech Trader Daily- $FB $MSFT https://t.co/7yYFuo0sQb",barronstechblog,Mon May 02 16:34:50 +0000 2016
727174490581401600,$FB holds its earnings breakout (so far)...,TradeStockTrend,Mon May 02 16:34:43 +0000 2016
727174026305609728,$QQQ The #Tech Bubble 2.0 Is Bursting https://t.co/zpQlvmhWkc $SPY $DIA $SPX #stockmarket $IWM #stocks #finance $AAPL $AMZN $NFLX $FB $BABA,davidmoadel,Mon May 02 16:32:52 +0000 2016
727173937096855552,Lawsuit against $FB identified 7 hours before mass exposure. #fintech #trading #WallStreet https://t.co/d851ox6aXV,anshulbits,Mon May 02 16:32:31 +0000 2016
727173856780279808,This is really a no brainer if you want learn to make money in a fun way: https://t.co/Ofwp5ltYrE $AAPL $TWTR $FB $T https://t.co/a07DicWOAg,TickerTV,Mon May 02 16:32:12 +0000 2016
727173793374986240,"For VR/AR, believe the hype, not the timing. And uncover $FB &amp; $GOOG's inevitable bait&amp;switch @sawickipedia https://t.co/h7fbEJnmBf",rafer,Mon May 02 16:31:57 +0000 2016
727173729642532864,Bought $FB May20 $118 call @ 2.28,Maidofletcher,Mon May 02 16:31:42 +0000 2016
727173476637888517,$twtr market cap going below 5 billion!!!! Save your money!!!! $fb $spy $aapl,danny121683,Mon May 02 16:30:41 +0000 2016
727172458588045313,"$3,960 Verified Profit: ChatRoom Call $PRGN - was a easy call to short $2.15. #profit #entrepreneur $TWTR $FB https://t.co/RrHRLEpa9W",stocktrapping,Mon May 02 16:26:38 +0000 2016
727172367470862336,WEBINAR STARTS IN A FEW MINUTES $SPY $GLD $AMZN $FB $GOOGL $NFLX https://t.co/8tqsk30YBp,Trading_Analyst,Mon May 02 16:26:17 +0000 2016
727171774845095937,If over a Billion people spend an hour a day on $FB how can we ever be a productive again nation?,naicirtcele,Mon May 02 16:23:55 +0000 2016
727171280139472896,"@StockBullShark i wanta uninterrupted stream with out them fucking with it my point, dgaf about market caps, $FB adds no value in feeds tome",C2H520,Mon May 02 16:21:58 +0000 2016
727171030486269953,Viacom’s Woes in 2Q16: Declining Ad Revenues and Affiliate Fees $FB $FOXA $SPY $TWTR https://t.co/iTHKDGSHr4,MarketRealist,Mon May 02 16:20:58 +0000 2016
727170836025630720,Is Fidelity Capital &amp; Income Becoming Too Risky? https://t.co/DWmu6XhE7g $AGN $FB $GOOGL $SWKS $TFCIX $FAGIX,david_dierking,Mon May 02 16:20:12 +0000 2016
727170728433467393,The fate of the universe now relies on how much $ ppl spend at $AMZN and how many time they log into $FB.,330amFreefall,Mon May 02 16:19:46 +0000 2016
727170677380370432,@CNBC @levynews taught us that $fb is being pumped and $twtr is undervalued at 10b cap with 3.5b in cash,StockBullShark,Mon May 02 16:19:34 +0000 2016
